Gene1	Gene2	EdgeWeight
UGR	CTNNB1	9.82442868823445
GATA4	WNT4	9.76987967148089
GATA4	NR0B1	9.70434011322331
NR0B1	WT1mKTS	9.65519458360607
SRY	NR0B1	9.57123744071862
UGR	DMRT1	9.51580297679251
NR0B1	NR0B1	9.41221700271148
UGR	RSPO1	9.31170171810367
CTNNB1	NR0B1	9.12981564886486
SRY	WNT4	9.10361270379274
WT1pKTS	WNT4	8.94477104450271
DKK1	NR0B1	8.90292395899908
WT1pKTS	NR0B1	8.8318228234648
CTNNB1	WT1mKTS	8.76742230833891
WT1pKTS	NR5A1	8.75066296525388
GATA4	WT1mKTS	8.75053178120508
CBX2	GATA4	8.74198034290985
FOXL2	UGR	8.66524890570538
CBX2	WNT4	8.63902440475356
GATA4	GATA4	8.31623142890022
DMRT1	WNT4	8.27087892242515
SRY	GATA4	8.24034128510483
CBX2	CTNNB1	8.18162131282914
DMRT1	DMRT1	8.02350109837883
WT1mKTS	DMRT1	7.90228031086185
WT1pKTS	WT1pKTS	7.80040362154129
CBX2	DMRT1	7.75632760088463
UGR	DKK1	7.75494782612574
CTNNB1	GATA4	7.75308554450852
DKK1	WNT4	7.66422338993367
RSPO1	NR0B1	7.38807435695832
CBX2	WT1mKTS	7.33878464270986
WNT4	CTNNB1	6.91946930972493
FOXL2	SRY	6.81669881972213
WT1pKTS	DMRT1	6.80213615643275
UGR	AMH	6.79353551673428
NR5A1	GATA4	6.75682435787708
GATA4	DMRT1	6.74389892165684
WNT4	PGD2	6.58992313910619
CBX2	DKK1	6.5785411209074
WNT4	DKK1	6.53811409701394
DMRT1	RSPO1	6.48922002140527
WNT4	FGF9	6.45849477043329
CTNNB1	CBX2	6.40472913352474
WT1mKTS	CTNNB1	6.32535514576344
WNT4	AMH	6.221978764512
DKK1	DMRT1	6.16978832361119
WT1mKTS	DKK1	6.13897732390856
WT1mKTS	GATA4	6.13826628500297
GATA4	NR5A1	6.13029576903015
RSPO1	CBX2	6.09498272127699
NR5A1	NR5A1	6.07576675641672
GATA4	CTNNB1	6.06004149625531
NR0B1	GATA4	6.01852667674651
DKK1	RSPO1	5.98128342676003
NR5A1	CTNNB1	5.96289342351707
GATA4	DKK1	5.89765021788592
WT1pKTS	WT1mKTS	5.82183312101569
WT1mKTS	PGD2	5.80645426990133
CBX2	RSPO1	5.74711736831772
CBX2	SOX9	5.67614783401165
SRY	CTNNB1	5.6139949230648
SRY	AMH	5.57179323194939
SOX9	CBX2	5.55796530728822
CBX2	AMH	5.52592864420575
CBX2	NR5A1	5.50494170933411
UGR	SOX9	5.40020733607576
UGR	PGD2	5.25806465321049
WT1mKTS	RSPO1	5.24248221123229
WT1pKTS	SRY	5.14530571878368
SRY	RSPO1	5.05929350171733
GATA4	PGD2	4.95947886536451
DMRT1	PGD2	4.92176705634563
GATA4	RSPO1	4.87498989456133
UGR	FGF9	4.86375600500774
NR5A1	DKK1	4.84752612730201
FOXL2	CBX2	4.84337465502516
WT1pKTS	RSPO1	4.83210149733332
WT1mKTS	AMH	4.83091404692169
WT1pKTS	PGD2	4.80891730475178
NR5A1	DHH	4.80340516770833
AMH	RSPO1	4.79386461151576
RSPO1	GATA4	4.67730160106372
AMH	UGR	4.67308682000305
DKK1	SRY	4.6548375104568
NR0B1	PGD2	4.63873749974063
WNT4	SOX9	4.62224503338023
NR5A1	RSPO1	4.61665357046737
RSPO1	RSPO1	4.60997502755847
UGR	NR5A1	4.58492901619872
WT1pKTS	GATA4	4.57576304708489
PGD2	RSPO1	4.56880735355209
WNT4	NR5A1	4.50043445217568
CTNNB1	AMH	4.46520162819502
NR0B1	RSPO1	4.44547221492344
FGF9	RSPO1	4.44140826759806
NR5A1	PGD2	4.43309632909442
RSPO1	CTNNB1	4.4056745216841
NR0B1	WNT4	4.31360529949379
AMH	CBX2	4.2902633448849
DMRT1	SRY	4.28706205446068
DHH	RSPO1	4.27413053576345
GATA4	AMH	4.26723230399774
NR0B1	DKK1	4.24978085165396
NR0B1	AMH	4.23073103372035
CBX2	WT1pKTS	4.16703072563436
WT1pKTS	DKK1	4.13829018283152
AMH	NR0B1	3.99456905586379
NR0B1	DMRT1	3.98306322815609
UGR	WT1pKTS	3.98219448727961
DKK1	PGD2	3.96564305365675
FOXL2	NR0B1	3.95635330984577
CBX2	PGD2	3.95338414929066
GATA4	WT1pKTS	3.95146379381935
FGF9	FGF9	3.93983055434705
NR0B1	CTNNB1	3.92938483477212
NR5A1	NR0B1	3.88452392028125
WT1pKTS	AMH	3.82999369709715
FOXL2	CTNNB1	3.82745338370479
WNT4	WT1pKTS	3.81786889942661
WT1pKTS	CTNNB1	3.73754610897847
NR5A1	DMRT1	3.65658097381661
WT1mKTS	NR5A1	3.6469835547425
CBX2	DHH	3.62088780980417
DMRT1	WT1mKTS	3.58626736211695
SRY	DKK1	3.5540704549318
DMRT1	FGF9	3.54560083378486
NR5A1	SRY	3.54096346820395
DMRT1	GATA4	3.53568458434553
PGD2	NR0B1	3.52452224084522
AMH	SOX9	3.49274142496067
NR5A1	WT1pKTS	3.48828691707704
AMH	GATA4	3.4508913253305
FOXL2	NR5A1	3.44581740532302
FOXL2	GATA4	3.42791226937387
SOX9	PGD2	3.39753998149635
DKK1	FGF9	3.29814813048822
DKK1	GATA4	3.29236018485338
WT1mKTS	SOX9	3.29200894729204
DHH	SOX9	3.23010446318285
AMH	FGF9	3.22835073047204
FGF9	CBX2	3.21285940470664
FGF9	NR0B1	3.20707227583008
CTNNB1	RSPO1	3.19881428578023
SOX9	WNT4	3.1810290887627
RSPO1	DHH	3.16564262422759
WT1mKTS	WT1pKTS	3.15288230648984
SRY	FGF9	3.13273614046438
PGD2	UGR	3.11137143983181
CTNNB1	DHH	3.065215275523
FGF9	UGR	3.025851543599
FOXL2	RSPO1	3.02457556837925
FOXL2	AMH	3.00622944846483
CTNNB1	NR5A1	3.00246998704065
NR5A1	WT1mKTS	2.95127075057194
SOX9	CTNNB1	2.91298176044803
DHH	NR0B1	2.89191558686883
SRY	DHH	2.88828675347311
FGF9	PGD2	2.87664166173346
CTNNB1	CTNNB1	2.87072728153282
DHH	PGD2	2.86986753368086
DHH	CBX2	2.86718267741594
AMH	PGD2	2.80781977784948
RSPO1	WT1pKTS	2.80363460520315
DMRT1	AMH	2.80058016849308
CBX2	FGF9	2.78487569191219
WT1pKTS	SOX9	2.77431077768556
FOXL2	WT1pKTS	2.7418813156266
PGD2	CBX2	2.71205640183177
PGD2	FGF9	2.70420229814494
PGD2	GATA4	2.70009850692464
DKK1	WT1mKTS	2.68899761512317
WT1mKTS	FGF9	2.66495457683546
RSPO1	AMH	2.64953135071506
DHH	GATA4	2.63828941968356
PGD2	SOX9	2.6098190505096
FGF9	GATA4	2.59398562600937
FGF9	SOX9	2.58980888316212
SRY	SOX9	2.58023938066114
DHH	FGF9	2.57131470513423
SOX9	DKK1	2.53496022903023
SOX9	NR0B1	2.52871354737353
DHH	UGR	2.51184963506547
FOXL2	DKK1	2.50357625508962
NR0B1	FGF9	2.48648605112496
AMH	NR5A1	2.44666994876858
RSPO1	DKK1	2.44388190485309
NR0B1	DHH	2.4038747227482
RSPO1	FGF9	2.40381304514674
DHH	NR5A1	2.38610706881957
UGR	DHH	2.35526474698373
AMH	AMH	2.3488304044822
GATA4	FGF9	2.34068940474536
CTNNB1	FGF9	2.31986047424463
NR0B1	WT1pKTS	2.28152277906225
WNT4	DHH	2.26911643388845
SOX9	DMRT1	2.23859039890277
CTNNB1	DMRT1	2.22002794241723
FGF9	NR5A1	2.15912040061971
DKK1	AMH	2.08609219473573
GATA4	SOX9	2.05423059169098
SOX9	SRY	2.04379008786852
WT1pKTS	FGF9	1.99494354423508
SOX9	DHH	1.96975295688333
PGD2	NR5A1	1.94948590572069
DKK1	WT1pKTS	1.92512382509829
RSPO1	DMRT1	1.91747072344278
DKK1	CTNNB1	1.90339859573568
SRY	NR5A1	1.89372452478536
DMRT1	CTNNB1	1.85799309431852
SOX9	WT1mKTS	1.84858549229121
NR5A1	FOXL2	1.82612308721437
DMRT1	DHH	1.82479991431996
DMRT1	DKK1	1.79763316162397
DHH	DKK1	1.72036683703356
FOXL2	DHH	1.69350709446075
WT1pKTS	DHH	1.65262618161553
FGF9	DKK1	1.56800299774626
SOX9	GATA4	1.56341732840817
CTNNB1	DKK1	1.53113496017833
PGD2	CTNNB1	1.49319969400591
PGD2	PGD2	1.48075749859915
RSPO1	NR5A1	1.46238954975293
DMRT1	WT1pKTS	1.46049160014417
SRY	WT1pKTS	1.45415873345453
GATA4	DHH	1.44516648688185
FGF9	DHH	1.42159297884027
NR5A1	AMH	1.40892636237614
DHH	SRY	1.38827387044124
FGF9	CTNNB1	1.37015564821453
WT1pKTS	FOXL2	1.36349931833987
DHH	AMH	1.34815923259891
WT1mKTS	DHH	1.34790722620522
PGD2	AMH	1.34551995797974
PGD2	SRY	1.34523477054905
RSPO1	PGD2	1.34499045431737
FGF9	SRY	1.34060929883503
AMH	WNT4	1.32396922065862
PGD2	DHH	1.31379170231277
NR5A1	SOX9	1.2694216015286
FGF9	AMH	1.26583760540326
WNT4	FOXL2	1.23007454918382
CTNNB1	PGD2	1.18772286798025
SRY	PGD2	1.1735860705842
UGR	FOXL2	1.16473290007473
NR0B1	FOXL2	1.15159916379123
GATA4	FOXL2	1.14636731378137
CBX2	FOXL2	1.12807926057273
AMH	SRY	1.1272021805408
AMH	DMRT1	1.10729423588647
SRY	FOXL2	1.08877782087516
WT1mKTS	FOXL2	1.07788546947189
PGD2	DMRT1	1.0658777122808
SOX9	SOX9	1.03563437442389
SOX9	RSPO1	1.02159804076622
NR0B1	NR5A1	1.01552095031466
DHH	CTNNB1	1.01417710230747
PGD2	WNT4	1.0069380076649
PGD2	DKK1	0.987653167811061
AMH	DHH	0.959340520256735
RSPO1	SOX9	0.951599208497003
AMH	CTNNB1	0.928467837349978
FOXL2	FGF9	0.925835910462186
PGD2	WT1mKTS	0.911619862254048
FGF9	WNT4	0.902911859908822
CTNNB1	SOX9	0.89345325401886
SOX9	NR5A1	0.884552759482516
NR5A1	FGF9	0.882222822547449
CTNNB1	WT1pKTS	0.873546351176223
DKK1	DHH	0.839452098896117
SOX9	WT1pKTS	0.819422375894731
FGF9	FOXL2	0.811728964541163
FGF9	DMRT1	0.7513920368194
AMH	WT1pKTS	0.739172729346758
AMH	FOXL2	0.735649361911136
PGD2	FOXL2	0.714554746325583
AMH	WT1mKTS	0.71431107395522
FOXL2	FOXL2	0.704533395157798
DKK1	NR5A1	0.693696452823687
DHH	FOXL2	0.659927384140537
AMH	DKK1	0.65371659814208
DHH	WNT4	0.640937985976974
SOX9	AMH	0.638331297133366
FOXL2	PGD2	0.634327751334655
DMRT1	NR5A1	0.60145447378408
PGD2	WT1pKTS	0.595105580725918
SOX9	FOXL2	0.5746795834247
SOX9	FGF9	0.56360788649235
FGF9	WT1pKTS	0.541929531094113
FGF9	WT1mKTS	0.512056710610063
SRY	DMRT1	0.501396565892385
RSPO1	FOXL2	0.47908251805643
FOXL2	WNT4	0.462360408888127
FOXL2	DMRT1	0.435295395750622
NR0B1	SOX9	0.430277513987327
DKK1	SOX9	0.423124341245343
DKK1	FOXL2	0.396919198106177
FOXL2	SOX9	0.351626337487487
DKK1	DKK1	0.326589912436615
DHH	WT1pKTS	0.308118939049374
CTNNB1	FOXL2	0.290187387127303
DHH	DHH	0.260279336445826
DHH	WT1mKTS	0.252776642575305
DMRT1	FOXL2	0.249533020996035
DMRT1	SOX9	0.238258768040868
DHH	DMRT1	0.12087428757337
FOXL2	WT1mKTS	0.110791310665156
