Gene1	Gene2	EdgeWeight
CBX2	WNT4	7.94007658036378
WT1mKTS	DMRT1	7.90228031086185
CBX2	DMRT1	7.75632760088463
DKK1	WNT4	7.66422338993367
CBX2	WT1mKTS	7.33878464270986
CBX2	SRY	7.29814756729369
WNT4	CTNNB1	6.91946930972493
WT1pKTS	DMRT1	6.80213615643275
GATA4	DMRT1	6.74389892165684
UGR	AMH	6.63314045177793
WNT4	PGD2	6.58992313910619
SRY	CBX2	6.54896865266884
WNT4	DKK1	6.53811409701394
DMRT1	RSPO1	6.48922002140527
CBX2	DKK1	6.48699904437924
WNT4	FGF9	6.45849477043329
WT1mKTS	SRY	6.43195871914486
CTNNB1	CBX2	6.40472913352474
UGR	DKK1	6.29203357558988
WNT4	AMH	6.221978764512
DKK1	DMRT1	6.16978832361119
WT1mKTS	GATA4	6.13826628500297
RSPO1	CBX2	6.09498272127699
NR0B1	GATA4	6.01852667674651
DKK1	RSPO1	5.98128342676003
NR5A1	CTNNB1	5.96289342351707
CBX2	CTNNB1	5.86375382738046
WT1mKTS	PGD2	5.80645426990133
CBX2	RSPO1	5.74711736831772
GATA4	SRY	5.72656374100693
CBX2	SOX9	5.67614783401165
SOX9	CBX2	5.55796530728822
CBX2	AMH	5.52592864420575
UGR	SOX9	5.40020733607576
UGR	CTNNB1	5.38817049637419
WT1mKTS	DKK1	5.31254149410594
UGR	PGD2	5.25806465321049
WT1mKTS	RSPO1	5.24248221123229
GATA4	WT1mKTS	5.23627577959608
WT1pKTS	SRY	5.14530571878368
WT1pKTS	WT1mKTS	5.03815856586488
GATA4	PGD2	4.95947886536451
DMRT1	PGD2	4.92176705634563
GATA4	RSPO1	4.87498989456133
UGR	FGF9	4.86375600500774
NR5A1	DKK1	4.84752612730201
WT1pKTS	RSPO1	4.83210149733332
WT1pKTS	PGD2	4.80891730475178
NR5A1	DHH	4.80340516770833
AMH	RSPO1	4.79386461151576
SRY	GATA4	4.75614186727404
RSPO1	GATA4	4.67730160106372
AMH	UGR	4.67308682000305
DKK1	SRY	4.6548375104568
NR0B1	PGD2	4.63873749974063
WNT4	SOX9	4.62224503338023
NR5A1	GATA4	4.58791682742348
UGR	NR5A1	4.58492901619872
WT1pKTS	GATA4	4.57576304708489
PGD2	RSPO1	4.56880735355209
WNT4	NR5A1	4.50043445217568
WT1pKTS	WT1pKTS	4.47016914290982
FGF9	RSPO1	4.44140826759806
NR5A1	PGD2	4.43309632909442
RSPO1	CTNNB1	4.4056745216841
WT1mKTS	AMH	4.40381069775459
CBX2	NR5A1	4.39382398002089
NR0B1	SRY	4.35682932841056
AMH	CBX2	4.2902633448849
DMRT1	SRY	4.28706205446068
NR0B1	WT1mKTS	4.27644271509381
DHH	RSPO1	4.27413053576345
GATA4	AMH	4.26723230399774
CBX2	WT1pKTS	4.16703072563436
WT1pKTS	DKK1	4.13829018283152
CTNNB1	NR0B1	4.10485258607419
GATA4	DKK1	4.01353296479163
AMH	NR0B1	3.99456905586379
WT1mKTS	CTNNB1	3.99308096978066
NR0B1	DMRT1	3.98306322815609
DKK1	PGD2	3.96564305365675
CBX2	PGD2	3.95338414929066
FGF9	FGF9	3.93983055434705
NR0B1	CTNNB1	3.92938483477212
NR0B1	DKK1	3.91564990373192
SRY	NR0B1	3.88432859648912
SRY	SRY	3.84661395690735
WT1pKTS	AMH	3.82999369709715
WNT4	WT1pKTS	3.81786889942661
GATA4	CTNNB1	3.79643810380511
WT1pKTS	CTNNB1	3.73754610897847
UGR	WT1pKTS	3.68242401753067
NR5A1	DMRT1	3.65658097381661
CBX2	DHH	3.62088780980417
NR5A1	WNT4	3.58852621243825
DMRT1	WT1mKTS	3.58626736211695
DMRT1	FGF9	3.54560083378486
NR5A1	SRY	3.54096346820395
DMRT1	GATA4	3.53568458434553
PGD2	NR0B1	3.52452224084522
AMH	SOX9	3.49274142496067
AMH	GATA4	3.4508913253305
SOX9	PGD2	3.39753998149635
WT1mKTS	NR5A1	3.35499436814457
DKK1	FGF9	3.29814813048822
DKK1	GATA4	3.29236018485338
WT1mKTS	SOX9	3.29200894729204
CTNNB1	GATA4	3.27639666789404
RSPO1	NR0B1	3.2621295170212
DHH	SOX9	3.23010446318285
AMH	FGF9	3.22835073047204
FGF9	CBX2	3.21285940470664
FGF9	NR0B1	3.20707227583008
SOX9	WNT4	3.1810290887627
NR0B1	WNT4	3.17686348849338
RSPO1	DHH	3.16564262422759
WT1mKTS	WT1pKTS	3.15288230648984
NR5A1	NR0B1	3.14567700734458
PGD2	UGR	3.11137143983181
FGF9	UGR	3.025851543599
SOX9	CTNNB1	2.91298176044803
DHH	NR0B1	2.89191558686883
FGF9	PGD2	2.87664166173346
CTNNB1	CTNNB1	2.87072728153282
DHH	PGD2	2.86986753368086
DHH	CBX2	2.86718267741594
AMH	PGD2	2.80781977784948
DMRT1	AMH	2.80058016849308
CBX2	FGF9	2.78487569191219
WT1pKTS	SOX9	2.77431077768556
NR5A1	RSPO1	2.76667926111647
RSPO1	RSPO1	2.75734784871139
SRY	WT1mKTS	2.73875466727909
RSPO1	SRY	2.72566843736017
PGD2	CBX2	2.71205640183177
PGD2	FGF9	2.70420229814494
PGD2	GATA4	2.70009850692464
DKK1	WT1mKTS	2.68899761512317
NR5A1	WT1mKTS	2.68397202246306
DHH	GATA4	2.63828941968356
PGD2	SOX9	2.6098190505096
FGF9	GATA4	2.59398562600937
FGF9	SOX9	2.58980888316212
SRY	SOX9	2.58023938066114
DHH	FGF9	2.57131470513423
SOX9	DKK1	2.53496022903023
SOX9	NR0B1	2.52871354737353
DHH	UGR	2.51184963506547
GATA4	WT1pKTS	2.51133004883676
NR0B1	AMH	2.50659067472262
AMH	NR5A1	2.44666994876858
RSPO1	DKK1	2.44388190485309
NR0B1	DHH	2.4038747227482
DHH	NR5A1	2.38610706881957
GATA4	NR5A1	2.36131298876272
UGR	DHH	2.35526474698373
AMH	AMH	2.3488304044822
NR0B1	WT1pKTS	2.28152277906225
RSPO1	WT1mKTS	2.27922037720794
WNT4	DHH	2.26911643388845
CTNNB1	SRY	2.2655347126606
WT1pKTS	NR5A1	2.2449822485009
SOX9	DMRT1	2.23859039890277
NR5A1	WT1pKTS	2.23172507828573
CTNNB1	DMRT1	2.22002794241723
FGF9	NR5A1	2.15912040061971
WT1mKTS	FGF9	2.10117230329287
SRY	DHH	2.09588938301127
DKK1	AMH	2.08609219473573
GATA4	SOX9	2.05423059169098
SOX9	SRY	2.04379008786852
WT1pKTS	FGF9	1.99494354423508
GATA4	FGF9	1.98739849603952
SOX9	DHH	1.96975295688333
PGD2	NR5A1	1.94948590572069
DKK1	WT1pKTS	1.92512382509829
DKK1	CTNNB1	1.90339859573568
SRY	NR5A1	1.89372452478536
DMRT1	CTNNB1	1.85799309431852
SOX9	WT1mKTS	1.84858549229121
NR5A1	FOXL2	1.82612308721437
DMRT1	DHH	1.82479991431996
DMRT1	DKK1	1.79763316162397
CTNNB1	WT1mKTS	1.72069631200707
DHH	DKK1	1.72036683703356
CTNNB1	WNT4	1.71124962411962
WT1pKTS	DHH	1.65262618161553
FGF9	DKK1	1.56800299774626
NR0B1	RSPO1	1.56624936964702
SOX9	GATA4	1.56341732840817
PGD2	CTNNB1	1.49319969400591
PGD2	PGD2	1.48075749859915
DMRT1	WT1pKTS	1.46049160014417
GATA4	DHH	1.44516648688185
FGF9	DHH	1.42159297884027
CTNNB1	DHH	1.39156884714764
SRY	AMH	1.39117116073538
DHH	SRY	1.38827387044124
SRY	FGF9	1.38332732084794
FGF9	CTNNB1	1.37015564821453
SRY	RSPO1	1.36780671256646
CTNNB1	DKK1	1.36672660423782
SRY	CTNNB1	1.36196272838592
DHH	AMH	1.34815923259891
WT1mKTS	DHH	1.34790722620522
PGD2	AMH	1.34551995797974
PGD2	SRY	1.34523477054905
RSPO1	PGD2	1.34499045431737
FGF9	SRY	1.34060929883503
AMH	WNT4	1.32396922065862
PGD2	DHH	1.31379170231277
NR5A1	SOX9	1.2694216015286
FGF9	AMH	1.26583760540326
RSPO1	DMRT1	1.23931421715364
NR5A1	NR5A1	1.19075846448083
CTNNB1	PGD2	1.18772286798025
GATA4	FOXL2	1.14636731378137
CBX2	FOXL2	1.12807926057273
AMH	SRY	1.1272021805408
WT1pKTS	FOXL2	1.10787413691951
AMH	DMRT1	1.10729423588647
WT1mKTS	FOXL2	1.07788546947189
PGD2	DMRT1	1.0658777122808
SRY	DKK1	1.05939910610306
SOX9	SOX9	1.03563437442389
SOX9	RSPO1	1.02159804076622
CTNNB1	FGF9	1.01604762008643
NR5A1	AMH	1.01424180559655
DHH	CTNNB1	1.01417710230747
PGD2	WNT4	1.0069380076649
PGD2	DKK1	0.987653167811061
AMH	DHH	0.959340520256735
RSPO1	SOX9	0.951599208497003
NR0B1	FGF9	0.940437137173413
AMH	CTNNB1	0.928467837349978
RSPO1	NR5A1	0.927400202862982
CTNNB1	NR5A1	0.913362896805036
PGD2	WT1mKTS	0.911619862254048
FGF9	WNT4	0.902911859908822
CTNNB1	SOX9	0.89345325401886
SOX9	NR5A1	0.884552759482516
NR5A1	FGF9	0.882222822547449
CTNNB1	WT1pKTS	0.873546351176223
DKK1	DHH	0.839452098896117
CTNNB1	AMH	0.832011111279817
SOX9	WT1pKTS	0.819422375894731
RSPO1	WT1pKTS	0.813996584324406
FGF9	FOXL2	0.811728964541163
NR0B1	NR5A1	0.780478439452332
CTNNB1	RSPO1	0.7555221066955
FGF9	DMRT1	0.7513920368194
AMH	WT1pKTS	0.739172729346758
AMH	FOXL2	0.735649361911136
SRY	WT1pKTS	0.723406710566623
PGD2	FOXL2	0.714554746325583
AMH	WT1mKTS	0.71431107395522
DKK1	NR5A1	0.693696452823687
UGR	FOXL2	0.663219189467857
DHH	FOXL2	0.659927384140537
AMH	DKK1	0.65371659814208
DHH	WNT4	0.640937985976974
SOX9	AMH	0.638331297133366
DMRT1	NR5A1	0.60145447378408
PGD2	WT1pKTS	0.595105580725918
SOX9	FOXL2	0.5746795834247
RSPO1	WNT4	0.573467469559239
SOX9	FGF9	0.56360788649235
FGF9	WT1pKTS	0.541929531094113
FGF9	WT1mKTS	0.512056710610063
SRY	DMRT1	0.501396565892385
RSPO1	FOXL2	0.47908251805643
DKK1	SOX9	0.423124341245343
DKK1	FOXL2	0.396919198106177
NR0B1	FOXL2	0.32861965567929
DHH	WT1pKTS	0.308118939049374
FOXL2	UGR	0.285725229147114
DHH	DHH	0.260279336445826
DHH	WT1mKTS	0.252776642575305
DMRT1	FOXL2	0.249533020996035
DMRT1	SOX9	0.238258768040868
NR0B1	SOX9	0.166070835275812
FOXL2	SRY	0.161601060946741
FOXL2	FGF9	0.161405341716862
FOXL2	NR0B1	0.15796733559722
FOXL2	DMRT1	0.149242468696477
FOXL2	CBX2	0.144298556779044
SRY	WNT4	0.131787694786948
FOXL2	FOXL2	0.130886733918196
DHH	DMRT1	0.12087428757337
FOXL2	WT1mKTS	0.0939893971324004
SRY	FOXL2	0.0916182158393857
FOXL2	DHH	0.0877689995739536
FOXL2	RSPO1	0.0865917874457766
FOXL2	PGD2	0.0821742131885
FOXL2	SOX9	0.0752294192737986
SRY	PGD2	0.0751981448578155
FOXL2	WT1pKTS	0.0567052090147114
FOXL2	AMH	0.0518196024763634
FOXL2	GATA4	0.0477480841682354
FOXL2	CTNNB1	0.0453421375015597
WNT4	FOXL2	0.0449563044942239
FOXL2	NR5A1	0.0367118053193544
RSPO1	FGF9	0.034816853321128
FOXL2	WNT4	0.0294168043083488
DKK1	DKK1	0.0200362314847249
FOXL2	DKK1	0.0195962404615725
CTNNB1	FOXL2	0.019153898390191
RSPO1	AMH	0.0005145068015695
