Gene1	Gene2	EdgeWeight
RSPO1	FGF9	0.60194688560115
RSPO1	AMH	0.597326420019391
GATA4	FOXL2	0.593258857286021
NR0B1	GATA4	0.581660632923561
NR0B1	WT1mKTS	0.581118567048377
WT1pKTS	WNT4	0.574256443951057
SRY	RSPO1	0.557132796090864
NR5A1	SRY	0.556670860824097
WNT4	WT1mKTS	0.550147151955781
DKK1	UGR	0.548684676340528
DMRT1	UGR	0.546498481810629
WNT4	GATA4	0.538507679865739
WT1pKTS	SOX9	0.52862942396568
WNT4	SOX9	0.521956964028821
NR5A1	SOX9	0.520765746405319
FOXL2	CBX2	0.516563456810446
GATA4	SOX9	0.515375664540974
WT1mKTS	SOX9	0.51104978463396
RSPO1	SRY	0.508997137259076
NR5A1	DHH	0.507178189702055
NR5A1	PGD2	0.505694786725579
NR5A1	DMRT1	0.504993062914162
NR5A1	DKK1	0.503832584172235
SRY	WT1pKTS	0.503387688338053
NR5A1	FGF9	0.499972851866746
FOXL2	WNT4	0.497850817289529
NR5A1	AMH	0.495443770221907
SRY	WT1mKTS	0.494575336315543
SRY	NR5A1	0.492414960949333
SRY	GATA4	0.48729995759548
DMRT1	NR5A1	0.482062590259309
DKK1	NR5A1	0.476483775207747
WT1mKTS	PGD2	0.469127336100706
CTNNB1	SOX9	0.468387981141245
CTNNB1	DMRT1	0.468115346873686
SOX9	NR0B1	0.467333811474579
WT1mKTS	DHH	0.466567254389583
GATA4	FGF9	0.46586354533568
GATA4	DHH	0.46479722245096
PGD2	DHH	0.464788549276163
DHH	PGD2	0.464788549276163
WT1mKTS	FGF9	0.46444926725102
WT1mKTS	AMH	0.458911002895189
WT1pKTS	PGD2	0.457380337645875
GATA4	PGD2	0.457339501865796
CTNNB1	SRY	0.456137079193711
GATA4	AMH	0.449591861751763
WT1pKTS	DHH	0.44736696427219
WT1pKTS	FGF9	0.443442440072278
WT1pKTS	AMH	0.438204721052389
WT1pKTS	CTNNB1	0.433672426305153
CTNNB1	DKK1	0.433634591478736
WT1pKTS	RSPO1	0.433239250506012
SOX9	SRY	0.433128923171033
FOXL2	UGR	0.432501517371191
FOXL2	NR0B1	0.424377484424531
SRY	CTNNB1	0.424259325481406
CTNNB1	PGD2	0.415741044858248
CTNNB1	AMH	0.412354740057503
DHH	AMH	0.405763287193153
AMH	DHH	0.405763287193153
DMRT1	RSPO1	0.398805007362943
CTNNB1	FGF9	0.398772474901699
DKK1	RSPO1	0.392383125603942
CTNNB1	DHH	0.38925837347676
FGF9	DHH	0.388735475433071
FOXL2	WT1mKTS	0.383901881781441
WNT4	FGF9	0.382385845296392
FOXL2	GATA4	0.378077450013202
FGF9	PGD2	0.376945176829194
WNT4	DHH	0.376377685315421
DMRT1	WT1mKTS	0.375207965951478
WNT4	PGD2	0.374028161704714
CTNNB1	WT1mKTS	0.37370714130218
DKK1	WT1mKTS	0.372032395122294
FGF9	AMH	0.368758130621761
RSPO1	WT1mKTS	0.368075418692499
SOX9	CBX2	0.366429510684661
WNT4	AMH	0.359283280484019
UGR	GATA4	0.358433908457229
NR5A1	UGR	0.358162641211424
FGF9	SOX9	0.357613005677909
SOX9	WNT4	0.352989347181454
CTNNB1	GATA4	0.352134962204644
RSPO1	GATA4	0.349729727098505
SRY	FOXL2	0.349331870050909
NR5A1	GATA4	0.348446857368591
DKK1	WT1pKTS	0.346641568407909
DMRT1	WT1pKTS	0.3461783583827
UGR	WT1mKTS	0.343038169008206
DKK1	GATA4	0.337298301032192
DMRT1	GATA4	0.332409172745846
PGD2	SOX9	0.330915127673749
DHH	FGF9	0.321698133694208
PGD2	AMH	0.316528476390722
PGD2	FGF9	0.315423085929595
FOXL2	SRY	0.303204162741051
SOX9	UGR	0.301467958809823
AMH	PGD2	0.298244262718338
DHH	SOX9	0.285194351415287
DKK1	CTNNB1	0.284049927916273
DMRT1	CTNNB1	0.280900320426822
CBX2	GATA4	0.270349778452107
SOX9	NR5A1	0.251989995556666
NR5A1	WT1mKTS	0.226049817445156
PGD2	DMRT1	0.220581134753136
PGD2	DKK1	0.218548420652294
SOX9	WT1mKTS	0.217558205135597
SOX9	RSPO1	0.206523404260101
AMH	FGF9	0.204819216279323
SOX9	WT1pKTS	0.193179086837901
DKK1	FOXL2	0.191347466071784
PGD2	SRY	0.17952892497265
CBX2	WT1mKTS	0.179283012515708
AMH	SOX9	0.178790156028712
FGF9	NR0B1	0.178429793313148
DMRT1	FOXL2	0.178356970902866
SOX9	GATA4	0.178193066649807
DHH	DKK1	0.176805324567447
PGD2	NR0B1	0.172238991903899
FGF9	NR5A1	0.168902802588089
DHH	DMRT1	0.163673122685555
PGD2	WT1mKTS	0.159655069003748
FGF9	DKK1	0.159525023288232
SOX9	CTNNB1	0.158023505905201
FGF9	DMRT1	0.146352558393757
FOXL2	DMRT1	0.146165103311442
PGD2	WT1pKTS	0.146120250970515
PGD2	CBX2	0.14315493357662
AMH	DKK1	0.142111345662743
DHH	NR0B1	0.140946656028908
FGF9	WT1pKTS	0.140485854715293
AMH	NR0B1	0.140355278535641
FOXL2	DKK1	0.138732367277626
AMH	GATA4	0.138269906297498
FGF9	SRY	0.135909246278759
AMH	DMRT1	0.133803422249979
DHH	FOXL2	0.132386844772162
FGF9	WT1mKTS	0.132216126167907
DHH	SRY	0.130469433747094
FGF9	WNT4	0.130277065079019
PGD2	WNT4	0.129892425710966
PGD2	FOXL2	0.126475493743645
PGD2	GATA4	0.123582085571261
FOXL2	DHH	0.123017516107212
DHH	GATA4	0.123002406184941
PGD2	CTNNB1	0.121947492250071
AMH	WT1mKTS	0.121282990146259
FGF9	RSPO1	0.121235434966895
AMH	WNT4	0.121049597926194
PGD2	UGR	0.119731758773329
DHH	WT1pKTS	0.119331479049531
DHH	WT1mKTS	0.117901766318006
SOX9	FOXL2	0.114435448923047
AMH	WT1pKTS	0.109538576195293
PGD2	NR5A1	0.109526962848029
DHH	NR5A1	0.109494950059729
FGF9	GATA4	0.108554532987963
AMH	SRY	0.106205807744386
AMH	CBX2	0.105431168616567
DHH	CBX2	0.105049517954012
AMH	NR5A1	0.104339878149274
FOXL2	AMH	0.101980099553788
PGD2	RSPO1	0.10128312921612
FGF9	CBX2	0.101233119889479
FOXL2	SOX9	0.100028081134444
DHH	WNT4	0.0988799531253733
AMH	FOXL2	0.0965451758236675
DHH	CTNNB1	0.0960704774904601
FGF9	UGR	0.0947284220258738
DHH	UGR	0.0887657532687802
DHH	RSPO1	0.0878355015738156
FGF9	FOXL2	0.0866266894675122
AMH	UGR	0.0834889727531771
FOXL2	FGF9	0.0801013443384234
AMH	RSPO1	0.0793818492595149
AMH	CTNNB1	0.0777789653868346
FGF9	CTNNB1	0.0765836696384061
FOXL2	PGD2	0.0754119397345789
